Название,Композитор,Год создания,Автор текста,Музыкальный жанр,ID музыкального жанра,Тема,Ключевые слова
Дороги Победы,Жарковский Евгений Эммануилович,1980,Доризо Николай,Хоры,4.3,Великая Отечественая Война,День Победы
Сверстницы,Жарковский Евгений Эммануилович,,Друнина Юлия,Романсы и песни,6.1,,
Сестры,Жарковский Евгений Эммануилович,,Арисенко Е.,Романсы и песни,6.1,Великая Отечественая Война,медсестры
Песня об эсминце «Гремящем»,Жарковский Евгений Эммануилович,1943,Ивашенко Е.,Романсы и песни,6.1,Великая Отечественая Война,ВМФ
Песня о подводной лодке «Малютка» «М-172»,Жарковский Евгений Эммануилович,,Фисанович,Романсы и песни,6.1,Великая Отечественая Война,подводники
"Товарищ мой, споем…",Жарковский Евгений Эммануилович,,Каменецкий Юрий,Романсы и песни,6.1,,
Баллада о танке,Жарковский Евгений Эммануилович,,Каменецкий Юрий,Романсы и песни,6.1,,
Ласточка-касаточка,Жарковский Евгений Эммануилович,1945,Колычев Осип Яковлевич,Романсы и песни,6.1,Великая Отечественая Война,День Победы
Песня о Борисе Сафонове,Жарковский Евгений Эммануилович,,Полярный,Романсы и песни,6.1,Великая Отечественая Война,ГСС Борис Сафонов 
Шли бойцы,Жарковский Евгений Эммануилович,1944,Лапиров Макс,Романсы и песни,6.1,,
В Москву нельзя не влюбиться,Жарковский Евгений Эммануилович,1980,Лаписов,Романсы и песни,6.1,Города,Москва
Комиссары,Жарковский Евгений Эммануилович,1973,Матусовский Михаил,Романсы и песни,6.1,Великая Отечественая Война,комиссары
"Прощайте, скалистые горы",Жарковский Евгений Эммануилович,1942,Букин Н.,Романсы и песни,6.1,Великая Отечественая Война,ВМФ; оборонная
Гвардейцы идут на парад,Жарковский Евгений Эммануилович,,Сташек,Романсы и песни,6.1,,
Отчизна,Жарковский Евгений Эммануилович,1966,Островой Сергей,Романсы и песни,6.1,,
Морошка,Жарковский Евгений Эммануилович,,Фурманский,Романсы и песни,6.1,,
Всегда герои с нами,Жарковский Евгений Эммануилович,,Пляцковский Михаил,Романсы и песни,6.1,,
Санитарка,Жарковский Евгений Эммануилович,,Полухин Юрий,Романсы и песни,6.1,Великая Отечественая Война,медсестры
У полустанка,Жарковский Евгений Эммануилович,,Поперечный Анатолий,Романсы и песни,6.1,Великая Отечественая Война,
Ваня Курский,Жарковский Евгений Эммануилович,,Прокофьев Александр Андреевич,Романсы и песни,6.1,,
Песня подводников,Жарковский Евгений Эммануилович,1965,Рейтман Марк,Романсы и песни,6.1,Вооруженные силы,ВМФ
Баллада о летчике-бомбардировщике А.Стоянове,Жарковский Евгений Эммануилович,,Родионов Ярослав,Романсы и песни,6.1,Великая Отечественая Война,Андрей Стоянов
Тихий Дон,Жарковский Евгений Эммануилович,,Родионов Ярослав,Романсы и песни,6.1,Великая Отечественая Война,
О-кей! Веселый парень Джимми из Англии летит,Жарковский Евгений Эммануилович,,Родионов Ярослав,Романсы и песни,6.1,Великая Отечественая Война,Второй фронт
"Я в морской, ты - в армейской шинели",Жарковский Евгений Эммануилович,,Родионов Ярослав,Романсы и песни,6.1,Великая Отечественая Война,медсестры
Даль штормовая,Жарковский Евгений Эммануилович,,Благов С.,Романсы и песни,6.1,,
Казачья шуточная (По-над Сунжею-рекою),Жарковский Евгений Эммануилович,1938,Сельвинский Илья,Романсы и песни,6.1,Гражданская война (1918-1922),
Песня о пограничнике,Жарковский Евгений Эммануилович,1953,Турунова,Романсы и песни,6.1,Вооруженные силы,пограничники
Стоит Москва - стоит Россия,Жарковский Евгений Эммануилович,,Танич Михаил,Романсы и песни,6.1,,
Талисман,Жарковский Евгений Эммануилович,,Танич Михаил,Романсы и песни,6.1,,
По селу идут солдаты,Жарковский Евгений Эммануилович,,Белкин Ф.,Романсы и песни,6.1,Вооруженные силы,
Встреча подводников-победителей,Жарковский Евгений Эммануилович,,Флёров Николай,Романсы и песни,6.1,Великая Отечественая Война,подводники
Синеглазая морячка,Жарковский Евгений Эммануилович,,Флёров Николай,Романсы и песни,6.1,Великая Отечественая Война,
Граница,Жарковский Евгений Эммануилович,,Харитонов Владимир,Романсы и песни,6.1,,
Пограничный знак,Жарковский Евгений Эммануилович,,Харитонов Владимир,Романсы и песни,6.1,,
Баллада об Олеге Кошевом,Жарковский Евгений Эммануилович,1947,Шведов Яков,Романсы и песни,6.1,Великая Отечественая Война,Молодая гвардия
Трехрядка,Жарковский Евгений Эммануилович,,Шведов Яков,Романсы и песни,6.1,Великая Отечественая Война,
Песня о моей России,Жарковский Евгений Эммануилович,1975,Михайлов,Романсы и песни,6.1,Родина,Россия
"Прости, солдат",Жарковский Евгений Эммануилович,,Михайлов,Романсы и песни,6.1,,
Называйте меня комсомольцев,Жарковский Евгений Эммануилович,,Михайлов,Романсы и песни,6.1,,
Береза,Животов Алексей Семенович,,Исаковский Михаил Васильевич,Романсы и песни,6.1,,
Песни о Ленинграде,Животов Алексей Семенович,1943,Натан-Горская,Романсы и песни,6.1,Великая Отечественая Война,Оборона Ленинграда
Героическая поэма,Животов Алексей Семенович,1946,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,,
Героический марш,Животов Алексей Семенович,1942,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Великая Отечественая Война,
Весна в Москве,Животов Алексей Семенович,1954,,Музыка к драматическим спектаклям,1.4,Города,Москва
"12 прелюдий на русские темы (в т.ч. «Про Добрыню/Сусанин/Дело было под Полтавой/Бородино/Шумел, горел пожар московский)",Живцов Александр Иванович,,,Сочинения для фортепиано,5.2,Древняя Русь,былины
Урал,Живцов Александр Иванович,,,Хоры,4.3,Регионы,Урал
Республика моя,Жиганов Назиб Гаязович,1960,Арсланов Н.,Кантаты,4.1,Регионы,Татарстан
Партизанка,Жиганов Назиб Гаязович,,Кутуй,Романсы и песни,6.1,,
"Здравствуй, Москва",Жиганов Назиб Гаязович,1980,Харрис,Кантаты,4.1,Города,Москва
Симфония №4,Жиганов Назиб Гаязович,1973,,Симфонии,2.2,Великая Отечественая Война,
Симфония №15,Жиганов Назиб Гаязович,1984,,Симфонии,2.2,Великая Отечественая Война,
Джалиль,Жиганов Назиб Гаязович,1958,,Оперы,1.1,Великая Отечественая Война,Муса Джалиль
Ньюргун Боотур стремительный,Жирков Марк Николаевич,1940,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,,
Ньюргун Боотур ,Жирков Марк Николаевич,1947,,Оперы,1.1,,
Песня о Родине,Жирков Марк Николаевич,,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Родина,Россия
Над Якутском,Жирков Марк Николаевич,,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Города,Якутск
Фронтовой вальс,Журбин Александр Борисович,,Кирсанов Семен,Романсы и песни,6.1,Великая Отечественая Война,
Осень 42-го года,Журбин Александр Борисович,,Файнберг,Романсы и песни,6.1,Великая Отечественая Война,
Песня о герое,Задорин Виктор Семенович,1982,Мартынов,Хоры,4.3,,
Солдату не спится,Задорин Виктор Семенович,1987,Мартынов,Хоры,4.3,,
По зову сердца,Задорин Виктор Семенович,,Мартынов,Хоры,4.3,Великая Отечественая Война,
Песня о городе,Задорин Виктор Семенович,1981,Радостева,Романсы и песни,6.1,Города,Березники
Голубые огни,Задорин Виктор Семенович,1982,Радостева,Романсы и песни,6.1,Города,Березники
Прекрасная Родина в огнях,Задорин Виктор Семенович,1982,Радостева,Романсы и песни,6.1,Города,Березники
Мы встречаем твои 50,Задорин Виктор Семенович,1982,Радостева,Романсы и песни,6.1,Города,Березники
Песня о Березниках,Задорин Виктор Семенович,1981,Решетов,Романсы и песни,6.1,Города,Березники
Весна. Урал. Березники,Задорин Виктор Семенович,1982,Матвеев,Романсы и песни,6.1,Города,Березники
Мой город,Задорин Виктор Семенович,1980,Троицкий,Романсы и песни,6.1,Города,Березники
"Россию нельзя разлюбить (Густая роща в зареве заката/Сказка/Куковали кукушки/Миг/Памяти павших/Скажу, что я высказать вправе/Россия)",Задорин Виктор Семенович,,Прокофьев Александр Андреевич,Хоры,4.3,Родина,Россия
В родном краю березовом,Задорин Виктор Семенович,1982,Кузвесов,Романсы и песни,6.1,Города,Березники
В новом городе на Каме,Задорин Виктор Семенович,1982,,Романсы и песни,6.1,Города,Березники
Башкирия,Заимов Халик Шакирович,1953,Даян,Кантаты,4.1,Регионы,Башкирия
Ода в память погибших в период ВОВ,Заимов Халик Шакирович,1969,Колмой,Прочие вокально-симфонические произведения,7.3,Великая Отечественая Война,память
"Слава тебе, государство Советов",Зайчиков Михаил Антонович,1964,,Кантаты,4.1,Родина,СССР
"О, Родина!",Зайчиков Михаил Антонович,1972,Жигулин ,Прочие вокально-симфонические произведения,7.3,Родина,Россия
Днепровская-боевая,Запольский Виталий Васильевич,1938,Белов П.,Романсы и песни,6.1,Вооруженные силы,оборонная
Ивановские ситцы,Зарицкий Юрий Маркович,1970, ,Инструментальные произведения с оркестром,9.1,Города,Иваново
За Невскою заставою,Зарицкий Юрий Маркович,1972,Гоппе; Шишко,Романсы и песни,6.1,Города,Ленинград; Санкт-Петербург
Комиссары,Зарицкий Юрий Маркович,,Куклин Лев,Романсы и песни,6.1,,
Пограничная,Зарицкий Юрий Маркович,,Куклин Лев,Романсы и песни,6.1,,
Про нашу славу,Зарицкий Юрий Маркович,,Куклин Лев,Романсы и песни,6.1,,
Ты не один,Зарицкий Юрий Маркович,,Куклин Лев,Романсы и песни,6.1,,
6 вокальных эпизодов по поэме «И вечный бой» СОЛОУХИН Владимир (1924-97)а,Зарицкий Юрий Маркович,1967,Солоухин Владимир,Прочие вокально-симфонические произведения,7.3,Великая Отечественая Война,
Армия всегда на марше,Зарицкий Юрий Маркович,,Фогельсон Соломон,Романсы и песни,6.1,,
Ярославская кадриль,Зарицкий Юрий Маркович,1955,,Инструментальные произведения с оркестром,9.1,Города,Ярославль
По родному краю,Зарицкий Юрий Маркович,1957,,Сюиты,7.2,,
Путь танкиста,Заславский Семён Аркадьевич,,Андронов Михаил,Романсы и песни,6.1,Великая Отечественая Война,танковые войска
В брянском лесу тишина,Заславский Семён Аркадьевич,,Грибачев Николай,Романсы и песни,6.1,Великая Отечественая Война,
Сердце не уволить в запас,Заславский Семён Аркадьевич,,Полухин Юрий,Романсы и песни,6.1,Великая Отечественая Война,
Богатырь-страна,Заславский Семён Аркадьевич,1970,Семернин Вадим,Романсы и песни,6.1,Родина,Россия
Родина - твой дом,Заславский Семён Аркадьевич,,Семернин Вадим,Романсы и песни,6.1,,
Курская дуга,Заславский Семён Аркадьевич,,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,Курская дуга
Не колокольчик под дугой,Заславский Семён Аркадьевич,1957,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,Курская дуга
Бессмертник,Заславский Семён Аркадьевич,,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,
Над Карпатами,Заславский Семён Аркадьевич,,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,
Русский солдат,Заславский Семён Аркадьевич,,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,
"Живи, красуйся во все времена",Захаров Владимир Григорьевич,1951,Исаковский Михаил Васильевич,Романсы и песни,6.1,Родина,Россия
Зелеными просторами,Захаров Владимир Григорьевич,1940,Исаковский Михаил Васильевич,Романсы и песни,6.1,Родина,Россия
Слава Советской державе,Захаров Владимир Григорьевич,1943,Исаковский Михаил Васильевич,Романсы и песни,6.1,Родина,СССР
О моряках,Захаров Владимир Григорьевич,1940,Исаковский Михаил Васильевич,Романсы и песни,6.1,Вооруженные силы,ВМФ
"Ой, туманы мои, растуманы",Захаров Владимир Григорьевич,1942,Исаковский Михаил Васильевич,Романсы и песни,6.1,Великая Отечественая Война,партизанская
Как с войны пришли ребята,Захаров Владимир Григорьевич,1945,Исаковский Михаил Васильевич,Романсы и песни,6.1,Великая Отечественая Война,
Клятва,Захаров Владимир Григорьевич,1941 - 1945,Исаковский Михаил Васильевич,Романсы и песни,6.1,Великая Отечественая Война,
"Куда б ни шел, ни ехал",Захаров Владимир Григорьевич,1943,Исаковский Михаил Васильевич,Романсы и песни,6.1,Великая Отечественая Война,
"Походная (До свиданья, города и хаты)",Захаров Владимир Григорьевич,1941,Исаковский Михаил Васильевич,Романсы и песни,6.1,Великая Отечественая Война,
Про «Катюшу»,Захаров Владимир Григорьевич,1944,Исаковский Михаил Васильевич,Романсы и песни,6.1,Великая Отечественая Война,
В чистом поле,Захаров Владимир Григорьевич,1935,Исаковский Михаил Васильевич,Романсы и песни,6.1,,
Лети письмо приветное,Захаров Владимир Григорьевич,,Исаковский Михаил Васильевич,Романсы и песни,6.1,,
Лучше нету того цвету,Захаров Владимир Григорьевич,,Исаковский Михаил Васильевич,Романсы и песни,6.1,,
"Хороши вы, июльские ночи",Захаров Владимир Григорьевич,1947,Исаковский Михаил Васильевич,Романсы и песни,6.1,,
Песня о России,Захаров Владимир Григорьевич,1941 - 1945,Исаковский Михаил Васильевич; Сурков Алексей Александрович,Романсы и песни,6.1,Родина,Россия
Стань лицом на Запад!,Захаров Владимир Григорьевич,1942,Маркович; Исаковский Михаил Васильевич,Романсы и песни,6.1,Великая Отечественая Война,
Наши просторы,Захаров Владимир Григорьевич,1955,Михалков Сергей,Романсы и песни,6.1,Родина,Россия
Гибель начальника заставы,Захаров Владимир Григорьевич,1938,Ждановский,Романсы и песни,6.1,,
На коне вороном,Захаров Владимир Григорьевич,,,Романсы и песни,6.1,Гражданская война (1918-1922),
Белым снегом,Захаров Владимир Григорьевич,1942,Казьмин,Романсы и песни,6.1,Великая Отечественая Война,
От широкой Волги,Захаров Владимир Григорьевич,,Пришелец Антон,Романсы и песни,6.1,Родина,Москва
Про пехоту,Захаров Владимир Григорьевич,,Твардовский Александр Трифонович,Романсы и песни,6.1,Великая Отечественая Война,пехота
Марш на взятие Варшавы,Захаров Иван,1813,,Марши,8.1,Отечественная война (1812),Заграничный поход 1813-14
Царь Федор Иоаннович,Захаров Эмилий Евгеньевич,1974,,Музыка к драматическим спектаклям,1.4,Царская Россия,Федор Иоаннович
Шел солдат,Захаров Эмилий Евгеньевич,1968,,Инструментальные произведения с оркестром,9.1,,
"В минуты унынья, о родина-мать!",Зверев Василий Иванович,1942,Некрасов Николай,Романсы и песни,6.1,,
Красноармейцу,Зверев Василий Иванович,1941 - 1945,Уткин Иосиф,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Русская рапсодия,Зверев Василий Иванович,1950,,Инструментальные произведения с оркестром,9.1,Родина,Россия
Моя Родина,Зверев Василий Иванович,1945,,Сочинения для фортепиано,5.2,Родина,Россия
Сын полка,Зейдман Борис Исаакович,1952,Катаев В.,Оперы,1.1,Великая Отечественая Война,
Русские люди,Зейдман Борис Исаакович,1970,Симонов Константин,Оперы,1.1,,
Гнев народный,Зейдман Борис Исаакович,1941,,Оперы,1.1,Великая Отечественая Война,оборонная
Крымская ,Зельцер Матвей (Михаил) Иосифович,1930,,Сюиты,2.3,Регионы,Крым
Татарская фантазия,Зельцер Матвей (Михаил) Иосифович,1952,,Прочие произведения для духового оркестра,8.3,Регионы,Крым
Крымские эскизы,Зельцер Матвей (Михаил) Иосифович,1926,,Сочинения для камерного ансамбля,5.1,Регионы,Крым
Освобожденному городу,Зиберова Зинаида Петровна,1941,Ширман,Романсы и песни,6.1,Великая Отечественая Война,
Дон,Зиберова Зинаида Петровна,1940,Пушкин Александр Сергеевич,Романсы и песни,6.1,Реки,Дон
Жди меня,Зиберова Зинаида Петровна,1941,Симонов Константин,Романсы и песни,6.1,Великая Отечественая Война,лирическая
"Там, где шли бои",Зиберова Зинаида Петровна,1950,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Великая Отечественая Война,память
Родной город,Зиберова Зинаида Петровна,,,Марши,8.1,,
Вдали от Родины,Зиберова Зинаида Петровна,,,Сочинения для фортепиано,5.2,,
В буденновке - шапке,Зив Михаил,,Коростылев Вадим,Романсы и песни,6.1,,
Наша Родина,Зив Михаил,,Яковлев,Романсы и песни,6.1,Родина,Россия
Памяти павших ,Зингер Григорий Соломонович,1944,Берггольц Ольга ,Кантаты,4.1,Великая Отечественая Война,
Клятва Москве,Зингер Григорий Соломонович,1941,,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Симфония №6 «Моя Родина»,Золотарёв Василий Андреевич,1964,Лебедев-Кумач Василий Иванович,Симфонии,2.2,Родина,Россия
Симфония №5 «1941»,Золотарёв Василий Андреевич,1942,,Симфонии,2.2,Великая Отечественая Война,оборонная
Красноармейская ,Золотарёв Василий Андреевич,1937,,Хоры,4.3,Вооруженные силы,
Поэма о солдате (Ночь перед боем),Ибрагимов Шамиль Шамильевич,,Кулмый,Хоры,4.3,,
Чувашская симфония,Иванишин Владимир Георгиевич,1936,,Симфонии,2.2,Регионы,Чувашия
Сын Родины,Иванников Владимир Сергеевич,,Андронов Михаил,Романсы и песни,6.1,,
В почетном строю,Иванников Владимир Сергеевич,1957,Разумовский Юрий,Романсы и песни,6.1,Гражданская война (1918-1922),память
Братья,Иванников Владимир Сергеевич,1942,Чиковани,Романсы и песни,6.1,Великая Отечественая Война,оборонная
В дни войны (Когда цветы победы взойдут/Возмездие/Как только бой затих),Иванников Владимир Сергеевич,1944,Сосюра Владимир Николаевич; Сурков Алексей Александрович; Бровка Петр Устинович,Романсы и песни,6.1,Великая Отечественая Война,
Песня о юном бойце,Иванников Владимир Сергеевич,,Башмакова Т.,Романсы и песни,6.1,,
Родина,Иванников Владимир Сергеевич,1941,Щипачев Степан,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Родной берег,Иванов Валерий Кириллович,,Гречанников ,Романсы и песни,6.1,,
Будьте долгу верны,Иванов Валерий Кириллович,,Гамзатов Расул Гамзатович; Некляев ; Чуркин Александр Дмитриевич; Давидович ; Кашежева Инна Иналовна,Романсы и песни,6.1,Великая Отечественая Война,память
Мы не помним уже войны,Иванов Валерий Кириллович,2003,Легчилов,Романсы и песни,6.1,Великая Отечественая Война,память
Пограничная служба,Иванов Валерий Кириллович,,Знак,Романсы и песни,6.1,,
Весна победы,Иванов Валерий Кириллович,1985,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Великая Отечественая Война,40 лет Победы в ВОВ
Солдатское поле,Иванов Валерий Кириллович,1985,,Инструментальные произведения с оркестром,9.1,,
Василий Теркин,Иванов Георгий Николаевич,1978,,Балеты,1.3,Великая Отечественая Война,
Сибирская,Иванов Георгий Николаевич,1962,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Регионы,Сибирь
Сибирские вечера,Иванов Георгий Николаевич,1970,,Оратории,4.2,Регионы,Сибирь
Потемкинский праздник,Иванов Михаил Михайлович,,Суворин А.,Оперы,1.1,Царская Россия,
Забава Путятишна,Иванов Михаил Михайлович,1899,,Оперы,1.1,Древняя Русь,
Каширская старина,Иванов Михаил Михайлович,1905,,Оперы,1.1,Древняя Русь,
Русская рапсодия,Иванов Николай Андреевич,1950,,Инструментальные произведения с оркестром,9.1,Родина,Россия
Русская фантазия,Иванов Николай Андреевич,1952,,Инструментальные произведения с оркестром,9.1,Родина,Россия
Родина,Иванов Олег Борисович,1982,Поперечный Анатолий,Романсы и песни,6.1,Родина,
Ты земля моя,Иванов Олег Борисович,1981,Рождественский Роберт Иванович,Романсы и песни,6.1,Родина,
"Земля моя, Сибирь",Иванов Олег Борисович,1985,Колоколов,Романсы и песни,6.1,Регионы,Сибирь
Письмо пограничника,Иванов-Радкевич Николай Павлович,1938,Лугин Александр,Романсы и песни,6.1,Вооруженные силы,пограничники
Симфония №3 «Поэма о Сибири»,Иванов-Радкевич Николай Павлович,1937,,Симфонии,2.2,Регионы,Сибирь
Русская увертюра,Иванов-Радкевич Николай Павлович,1939,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Родина,Россия
Картинки русской природы,Иванов-Радкевич Николай Павлович,1949,,Сюиты,2.3,Родина,Россия
Поэма к 10-летию Победы,Иванов-Радкевич Николай Павлович,1955,,Прочие произведения для духового оркестра,8.3,Великая Отечественая Война,10 лет Победы
Варяг,Иванов-Радкевич Николай Павлович,1943,,Марши,8.1,Русско-японская война (1904-1905),Крейсер Варяг
Марш на русские темы,Иванов-Радкевич Николай Павлович,1937,,Марши,8.1,Родина,Россия
Русский,Иванов-Радкевич Николай Павлович,1949,,Марши,8.1,Родина,Россия
Торжественный марш,Иванов-Радкевич Николай Павлович,1930,,Марши,8.1,Полководцы,К.Е. Ворошилов и 14 лет РККА
Родная Москва,Иванов-Радкевич Николай Павлович,1941,,Марши,8.1,Города,Москва
Московский,Иванов-Радкевич Николай Павлович,1948,,Марши,8.1,Города,Москва
Капитан Гастелло,Иванов-Радкевич Николай Павлович,1941,,Марши,8.1,Великая Отечественая Война,Н.Ф. Гастелло
Слава героям,Иванов-Радкевич Николай Павлович,1942,,Марши,8.1,Вооруженные силы,25 лет  РККА
Нахимовец,Иванов-Радкевич Николай Павлович,1944,,Марши,8.1,Вооруженные силы,нахимовцы
Краснофлотский марш,Иванов-Радкевич Николай Павлович,1942,,Марши,8.1,Вооруженные силы,
Гвардейское знамя,Иванов-Радкевич Николай Павлович,1942,,Марши,8.1,Вооруженные силы,
Советской Армии,Иванов-Радкевич Николай Павлович,1951,,Марши,8.1,Вооруженные силы,
Знамя Победы,Иванов-Радкевич Николай Павлович,1945,,Марши,8.1,Великая Отечественая Война,День Победы
Парад Победы,Иванов-Радкевич Николай Павлович,1945,,Марши,8.1,Великая Отечественая Война,День Победы
Народные мстители,Иванов-Радкевич Николай Павлович,1941,,Марши,8.1,Великая Отечественая Война,оборонная
На штыки,Иванов-Радкевич Николай Павлович,1926,,Марши,8.1,,
Кавалерийский встречный марш,Иванов-Радкевич Николай Павлович,1940,,Марши,8.1,,
Победный марш,Иванов-Радкевич Николай Павлович,1941,,Марши,8.1,,
Морская гвардия,Иванов-Радкевич Николай Павлович,1941,,Марши,8.1,,
Балтиец,Иванов-Радкевич Николай Павлович,1947,,Марши,8.1,,
На берегу Невы,Иванович Иосиф,,,Романсы и песни,6.1,Реки,Нева
Сон на Волге,Иванович Иосиф,,,Романсы и песни,6.1,Регионы,Волга
Сувенир из Москвы,Иванович Иосиф,,,Романсы и песни,6.1,Города,Москва
Трубачи Первой Конной,Израйлевич Леонид Иосифович,1957,Саянов,Хоры,4.3,Гражданская война (1918-1922),
На бой!,Израйлевич Леонид Иосифович,1943,Пербю,Хоры,4.3,Великая Отечественая Война,оборонная
Уничтожим врага!,Израйлевич Леонид Иосифович,1941,Сарыг-Оол,Хоры,4.3,Великая Отечественая Война,оборонная
Саянская рапосдия,Израйлевич Леонид Иосифович,1962,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Регионы,Саяны
Страна голубой реки,Израйлевич Леонид Иосифович,1970,,Сюиты,2.3,Регионы,Тува
Саянские кедры,Израйлевич Леонид Иосифович,1974,,Симфонии,2.2,Регионы,Саяны
Моя Родина,Израйлевич Леонид Иосифович,1966,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Родина,Россия
Дума о Доне,Израйлевич Леонид Иосифович,1963,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Реки,Дон
Донская поэма,Израйлевич Леонид Иосифович,1972,,Сочинения для камерного ансамбля,5.1,Реки,Дон
"Ты кормилец наш, славный тихий Дон",Израйлевич Леонид Иосифович,1968,,Прочие вокально-симфонические произведения,7.3,Реки,Дон
Казачья слава,Израйлевич Леонид Иосифович,1983,,Хоры,4.3,Вооруженные силы,казачья
Москва моя весенняя,Иллютович Нина Яковлевна,1960,Градов Петр,Романсы и песни,6.1,Города,Москва
Баллада памяти,Иллютович Нина Яковлевна,,Дубровин Борис,Романсы и песни,6.1,,
"За тех, кого нет среди нас",Иллютович Нина Яковлевна,,Дубровин Борис,Романсы и песни,6.1,,
Когда берега далеки,Иллютович Нина Яковлевна,,Ческес,Романсы и песни,6.1,,
Опять война над русскими полями,Ильин Игорь Павлович,,Высотская Ольга Ивановна,Романсы и песни,6.1,,
Любовь пронес я через все разлуки,Ильин Игорь Павлович,,Щипачев Степан,Романсы и песни,6.1,,
Москва,Иордан Ирина Николаевна,1947,Седых Д.,Кантаты,4.1,Города,Москва
"Врага на море победим (Матросская, Краснофлотская)",Иорданский Михаил Вячеславович,1941,Алымов Сергей Яковлевич,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Партизанка,Иорданский Михаил Вячеславович,,Андронов Михаил,Романсы и песни,6.1,,
Жизнь моя - Россия,Иорданский Михаил Вячеславович,,Кузнецов,Романсы и песни,6.1,Родина,Россия
Он лежал на поле боя,Иорданский Михаил Вячеславович,,Ваншенкин Константин,Романсы и песни,6.1,,
"На запад, на запад",Иорданский Михаил Вячеславович,,Высотская Ольга Ивановна,Романсы и песни,6.1,,
Русский разговор,Иорданский Михаил Вячеславович,1942,Жаров Александр Алексеевич,Романсы и песни,6.1,Великая Отечественая Война,партизанская
На острове Даманском,Иорданский Михаил Вячеславович,,Николюкин,Хоры,4.3,,
Колыбельная,Иорданский Михаил Вячеславович,1941,Доронин И.,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Походная песня,Иорданский Михаил Вячеславович,1936,Кирсанов Семен,Романсы и песни,6.1,Вооруженные силы,пехота
Уральская кавалерийская (Едем все с Урала мы),Иорданский Михаил Вячеславович,1942,Куштум Никоай,Романсы и песни,6.1,Великая Отечественая Война,оборонная; кавалерийская
Зарница,Иорданский Михаил Вячеславович,,Лаписова Майя,Романсы и песни,6.1,,
В смертный бой идем,Иорданский Михаил Вячеславович,1942,Лебедев-Кумач Василий Иванович,Романсы и песни,6.1,Великая Отечественая Война,
Бородино,Иорданский Михаил Вячеславович,,Лермонтов Михаил Юрьевич,Хоры,4.3,Отечественная война (1812),Сражение при Бородино
Березка,Иорданский Михаил Вячеславович,,Вайнштейн М.,Романсы и песни,6.1,,
Песня Белгородско-Харьковской дивизии,Иорданский Михаил Вячеславович,1942 - 1945,Левашев,Романсы и песни,6.1,Великая Отечественая Война,Белгородско-Харьковская дивизия
Песня о 28-ми,Иорданский Михаил Вячеславович,,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,28 героев-панфиловцев
От Сталинграда до Берлина,Иорданский Михаил Вячеславович,1945,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,День Победы
Отечественная война,Ипатов Игорь Константинович,1943,,Оратории,4.2,Великая Отечественая Война,
На Волге,Ипполитов-Иванов Михаил Михайлович,,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Регионы,Волга
Ермак Тимофеевич,Ипполитов-Иванов Михаил Михайлович,1901,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Великая Отечественая Война,Ермак
Кавказские эскизы,Ипполитов-Иванов Михаил Михайлович,1894,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Регионы,Кавказ
Юбилейный марш,Ипполитов-Иванов Михаил Михайлович,1931,,Марши,8.1,Полководцы,К.Е. Ворошилов
Гимн-марш 1812,Ипполитов-Иванов Михаил Михайлович,1911,,Марши,8.1,Отечественная война (1812),
"Коронационная кантата, ор.12",Ипполитов-Иванов Михаил Михайлович,,,Кантаты,4.1,Царская Россия,Николай Второй
"Памяти Пушкина, ор.26",Ипполитов-Иванов Михаил Михайлович,1880.,,Кантаты,4.1,Люди искусства,А.С. Пушкин
Край родной,Искандаров Алексей Искандарович; Сахаров Лев Николаевич,1960,,Кантаты,4.1,,
Бессмертие,Исмагилов Загир Гарипович,1975,Карим,Прочие вокально-симфонические произведения,7.3,Великая Отечественая Война,ГСС А.М. Матросов; ГСС М.Губайдулин
Я - россиянин,Исмагилов Загир Гарипович,1973,,Кантаты,4.1,Родина,русский народ
